open,high,low,close,volume,timestamp,rsi,ema_9,ema_21,ema_50,ema_200,macd_line,macd_signal,macd_hist,atr,adx,bb_upper,bb_lower,bb_mid,bb_width
375.45,379.15,375.4,377.1,11085.7,1735058640000,,377.1,377.1,377.1,377.1,0.0,0.0,0.0,,,,,,
377.1,379.81,373.68,375.88,44624.8,1735059600000,,376.856,376.9890909090909,377.05215686274516,377.08786069651745,-0.09732193732196492,-0.019464387464392986,-0.07785754985757194,,44.537815126048216,,,,
375.87,380.58,374.97,377.21,45150.0,1735063200000,,376.9268,377.00917355371905,377.0583467896964,377.08907601297005,-0.0663653704110061,-0.028844584053715608,-0.03752078635729049,,25.17269398437813,,,,
377.21,379.66,375.68,377.48,36735.3,1735066800000,,377.03744000000006,377.0519759579264,377.0748822097083,377.09296580388576,-0.01981688784076141,-0.02703904481112477,0.0072221569703633595,,18.729454408904726,,,,
377.49,378.47,371.86,373.46,54667.6,1735070400000,,376.32195200000007,376.725432689024,376.93312212305307,377.05681689041427,-0.3038052061934309,-0.082392277087586,-0.22141292910584487,,30.966206533118914,,,,
373.5,376.79,372.91,374.8,23266.600000000002,1735074000000,,376.0175616,376.55039335365814,376.8494702750902,377.03436100095746,-0.41594642192632136,-0.14910310605533308,-0.2668433158709883,,38.281466880886114,,,,
374.81,376.66,373.41,374.63,16972.8,1735077600000,,375.74004928,376.37581213968923,376.7624322250867,377.01043701089816,-0.5126274721793607,-0.22180797928013862,-0.29081949289922204,,43.13609115938659,,,,
374.63,379.2,374.31,374.94,21447.9,1735081200000,,375.580039424,376.2452837633538,376.6909642946911,376.9898356476057,-0.5578034805294578,-0.2890070795300025,-0.26879640099945534,,37.059687196531215,,,,
374.96,376.97,369.12,369.28,52715.4,1735084800000,,374.3200315392,375.61207614850343,376.40033824391895,376.91312086504246,-1.0383510257549915,-0.4388758687750003,-0.5994751569799912,,38.68398150083799,,,,
369.24,370.93,367.49,368.05,37749.5,1735088400000,,373.06602523136,374.92461468045764,376.0728739990594,376.8249306076789,-1.501134988244928,-0.6513276926689859,-0.8498072955759421,,40.90537020725068,,,,
368.05,369.55,365.55,368.48,40228.4,1735092000000,,372.148820185088,374.33874061859785,375.7751142343904,376.7418964722791,-1.8123060701017835,-0.8835233681555454,-0.928782701946238,,43.53766810513713,,,,
368.47,370.0,364.38,369.31,55500.7,1735095600000,,371.58105614807045,373.8815823805435,375.5215803428457,376.6679472536495,-1.9692371904158676,-1.10066613260761,-0.8685710578082577,,45.44912994898364,,,,
369.34,371.94,367.67,371.38,32132.9,1735099200000,,371.5408449184564,373.65416580049407,375.35916542744,376.615330863066,-1.904619268264014,-1.2614567597388908,-0.6431625085251231,,44.63154688545449,,,,
