open,high,low,close,volume,timestamp,rsi,ema_9,ema_21,ema_50,ema_200,macd,macd_signal,macd_hist,atr,adx
176.46,177.93,175.81,177.13,32263.0,1766037360000,,177.13,177.13,177.13,177.13,0.0,0.0,0.0,,
177.13,180.51,176.51,176.77,97387.7,1766044800000,,177.05800000000002,177.09727272727272,177.11588235294118,177.12641791044777,-0.02871794871796851,-0.005743589743593703,-0.02297435897437481,,100.0
176.78,185.17,176.16,183.12,249966.2,1766059200000,,178.27040000000002,177.64479338842975,177.3513379469435,177.18605554317963,0.45566221053400113,0.08653757031192527,0.36912464022207586,,95.09887974394152
183.12,183.19,169.36,169.77,268100.5,1766073600000,,176.57032000000004,176.92890308039068,177.05403057647513,177.11226394573507,-0.2349876613971844,0.022232523970103335,-0.25722018536728775,,62.5251332991427
169.76,175.02,169.7,173.46,114033.1,1766088000000,,175.94825600000004,176.61354825490062,176.9130882009271,177.07592301095164,-0.47905821448975416,-0.07802562372186816,-0.401032590767886,,46.28288164721561
173.47,179.77,171.63,178.33,134806.6,1766102400000,,176.42460480000003,176.76958932263693,176.9686533695182,177.08840138895212,-0.27633220093559885,-0.11768693916461431,-0.15864526177098454,,41.540646716277735
178.33,183.54,177.59,181.99,120745.1,1766116800000,,177.53768384000003,177.24417211148813,177.16556892365472,177.13717351443518,0.177613618241395,-0.05862682768341245,0.23624044592480745,,41.30614789277061
181.98,182.74,180.33,181.41,66100.8,1766131200000,,178.31214707200004,177.62288373771648,177.33201720115846,177.17968920085872,0.4849772814912967,0.050093994151529375,0.43488328733976733,,41.13956303265807
181.42,185.87,180.8,183.1,136764.1,1766145600000,,179.26971765760004,178.12080339792408,177.5582126050346,177.2385977660243,0.8550772765561305,0.2110906506324496,0.6439866259236809,,42.5344098426504
183.1,186.93,181.56,185.28,138717.0,1766160000000,,180.47177412608005,178.77163945265823,177.86102779699405,177.31861171860118,1.3092003236689607,0.4307125852397518,0.8784877384292089,,44.01576949330798
185.29,187.47,181.2,181.53,110256.0,1766174400000,,180.68341930086405,179.02239950241656,178.00490905985703,177.3605160796101,1.350929772846598,0.6147560227611211,0.736173750085477,,44.9781098879782
181.53,182.38,180.1,181.42,67502.3,1766188800000,,180.83073544069123,179.24036318401505,178.1388341947646,177.40090895443987,1.3594536458735718,0.7636955473836112,0.5957580984899605,,44.6113163826272
181.42,182.66,181.15,182.35,37723.926,1766203200000,,181.13458835255298,179.5230574400137,178.30397795183265,177.4501536414604,1.4248275789189222,0.8959219536906735,0.5289056252282487,,44.42087841770562
182.37,183.29,180.87,182.21,7466.456,1766217600000,56.09697551608259,181.3496706820424,179.76732494546698,178.45715528705492,177.49751529676925,1.448641029835727,1.0064657689196843,0.44217526091604276,5.264285714285713,44.2334530607468
182.21,182.4,180.13,182.18,7232.657,1766232000000,56.05660829935238,181.51573654563393,179.9866590413336,178.6031491973665,177.54410718436358,1.4483963998721379,1.094851895110175,0.35354450476196275,5.2749999999999995,43.37420878613623
182.2,182.45,180.9,181.21,3893.876,1766246400000,55.248226950354606,181.45458923650716,180.09787185575783,178.70537864060702,177.5805837297928,1.3543198789619453,1.1467454918805293,0.20757438708141596,5.099999999999999,42.66059834820405
181.22,181.62,179.75,179.91,6331.433,1766260800000,45.69127516778523,181.14567138920575,180.08079259614345,178.75261869391656,177.60376200113816,1.1614756545569662,1.1496915244158168,0.01178413014114943,4.589999999999999,41.00738923150546
179.9,180.13,176.77,178.05,6749.444,1766275200000,66.07142857142856,180.5265371113646,179.89617508740312,178.7250650196453,177.60820218023133,0.8487746165808971,1.089508142848833,-0.24073352626793576,3.8421428571428566,37.41410235016962
178.04,178.66,177.19,177.69,3657.6730000000002,1766289600000,59.42933571110117,179.9592296890917,179.69561371582103,178.68447423456118,177.60901608888577,0.5653903319377491,0.9846845806666161,-0.419294248728867,3.567142857142855,34.26813446957697
177.68,179.94,177.25,178.1,3964.2,1766304000000,49.360044518642134,179.58738375127336,179.55055792347366,178.6615536763431,177.61390150093666,0.3696289655428302,0.861673457641859,-0.4920444920990288,3.1778571428571394,32.20239205944852
178.12,178.62,173.25,175.32,6674.704,1766318400000,30.48566413107079,178.73390700101868,179.1659617486124,178.5305123557022,177.5910766103801,-0.009724002037700075,0.6873939657059472,-0.6971179677436473,3.1364285714285693,30.246968569576673
175.32,177.2,175.08,176.84,1137.135,1766332800000,37.326677759290114,178.35512560081494,178.95451068055672,178.4642177535178,177.58360321127185,-0.18557348943514285,0.5128004746777293,-0.6983739641128721,3.115714285714282,28.508759803662567
