id_fvg,type,top,bottom,created_at,filled
30m_1734285600000,BULLISH,377.58,366.98,1734285600000,False
30m_1734366600000,BULLISH,383.0,377.58,1734366600000,False
30m_1734384600000,BEARISH,383.0,382.0,1734384600000,False
30m_1734415200000,BULLISH,382.05,382.0,1734415200000,False
30m_1734417000000,BULLISH,382.05,382.0,1734417000000,False
30m_1734422400000,BEARISH,382.05,382.0,1734422400000,False
30m_1734440400000,BULLISH,392.3,382.0,1734440400000,False
30m_1734451200000,BEARISH,392.3,382.0,1734451200000,False
30m_1734496200000,BEARISH,382.0,360.0,1734496200000,False
30m_1734586200000,BULLISH,367.0,360.0,1734586200000,False
30m_1734631200000,BEARISH,367.0,286.0,1734631200000,False
30m_1734692400000,BEARISH,286.0,275.23,1734692400000,False
30m_1734798600000,BULLISH,300.0,275.23,1734798600000,False
30m_1734969600000,BULLISH,325.74,300.0,1734969600000,False
30m_1734976800000,BULLISH,350.0,325.74,1734976800000,False
30m_1734991200000,BULLISH,362.42,350.0,1734991200000,False
30m_1734996600000,BULLISH,381.34,362.42,1734996600000,False
30m_1735007400000,BEARISH,381.34,349.99,1735007400000,False
30m_1735009200000,BEARISH,381.34,349.99,1735009200000,False
30m_1735138800000,BULLISH,353.02,349.99,1735138800000,False
30m_1735641000000,BEARISH,353.02,311.42,1735641000000,False
30m_1735774200000,BULLISH,312.62,311.42,1735774200000,False
30m_1735817400000,BEARISH,312.62,309.7,1735817400000,False
30m_1735912800000,BULLISH,350.0,309.7,1735912800000,False
30m_1735929000000,BULLISH,350.05,350.0,1735929000000,False
30m_1736033400000,BULLISH,385.05,350.05,1736033400000,False
30m_1736082000000,BEARISH,385.05,345.08,1736082000000,False
30m_1736175600000,BULLISH,345.09,345.08,1736175600000,False
30m_1736202600000,BULLISH,345.09,345.0,1736202600000,False
30m_1736204400000,BULLISH,345.09,345.0,1736204400000,False
30m_1736218800000,BEARISH,345.09,345.0,1736218800000,False
30m_1736235000000,BULLISH,345.1,345.0,1736235000000,False
30m_1736263800000,BEARISH,345.1,320.05,1736263800000,False
30m_1736267400000,BULLISH,345.1,320.05,1736267400000,False
30m_1736310600000,BEARISH,345.1,275.23,1736310600000,False
30m_1736677800000,BULLISH,276.61,275.23,1736677800000,False
30m_1736679600000,BULLISH,276.61,275.23,1736679600000,False
30m_1736782200000,BEARISH,276.61,275.22,1736782200000,False
30m_1736931600000,BEARISH,292.0,275.0,1736931600000,False
30m_1736953200000,BULLISH,300.23,275.0,1736953200000,False
30m_1736967600000,BULLISH,345.1,300.23,1736967600000,False
30m_1737073800000,BEARISH,345.1,310.1,1737073800000,False
30m_1737081000000,BULLISH,345.1,310.1,1737081000000,False
30m_1737117000000,BEARISH,345.1,300.0,1737117000000,False
30m_1737120600000,BULLISH,345.1,300.0,1737120600000,False
30m_1737140400000,BEARISH,345.1,326.06,1737140400000,False
30m_1737160200000,BULLISH,345.1,326.06,1737160200000,False
30m_1737457200000,BULLISH,371.65,345.1,1737457200000,False
30m_1737460800000,BEARISH,371.65,361.45,1737460800000,False
30m_1737477000000,BEARISH,361.45,322.6,1737477000000,False
30m_1737505800000,BULLISH,369.05,322.6,1737505800000,False
30m_1737532800000,BEARISH,369.05,338.03,1737532800000,False
30m_1737550800000,BULLISH,353.61,338.03,1737550800000,False
30m_1737590400000,BEARISH,353.61,350.0,1737590400000,False
30m_1737617400000,BEARISH,350.0,344.45,1737617400000,False
30m_1737640800000,BEARISH,344.45,328.36,1737640800000,False
30m_1737673200000,BEARISH,328.36,324.73,1737673200000,False
30m_1737707400000,BULLISH,327.01,324.73,1737707400000,False
30m_1737729000000,BULLISH,352.6,327.01,1737729000000,False
30m_1737768600000,BEARISH,352.6,326.75,1737768600000,False
30m_1737777600000,BULLISH,338.0,326.75,1737777600000,False
30m_1737844200000,BULLISH,380.0,338.0,1737844200000,False
30m_1737871200000,BEARISH,380.0,361.0,1737871200000,False
30m_1737896400000,BEARISH,361.0,338.0,1737896400000,False
30m_1737923400000,BULLISH,380.0,338.0,1737923400000,False
30m_1737937800000,BEARISH,380.0,322.76,1737937800000,False
30m_1738062000000,BEARISH,322.76,300.71,1738062000000,False
30m_1738085400000,BEARISH,300.71,296.95,1738085400000,False
30m_1738096200000,BULLISH,300.71,296.0,1738096200000,False
30m_1738105200000,BEARISH,300.71,279.25,1738105200000,False
30m_1738128600000,BULLISH,282.0,279.25,1738128600000,False
30m_1738134000000,BULLISH,310.0,282.0,1738134000000,False
30m_1738218600000,BEARISH,310.0,303.13,1738218600000,False
30m_1738270800000,BEARISH,303.13,300.0,1738270800000,False
30m_1738342800000,BULLISH,380.0,300.0,1738342800000,False
30m_1738373400000,BEARISH,380.0,334.34,1738373400000,False
30m_1738404000000,BEARISH,334.34,316.0,1738404000000,False
30m_1738407600000,BEARISH,316.0,314.0,1738407600000,False
30m_1738454400000,BEARISH,314.0,294.0,1738454400000,False
30m_1738459800000,BULLISH,334.34,294.0,1738459800000,False
30m_1738519200000,BEARISH,334.34,238.51,1738519200000,False
30m_1738537200000,BEARISH,238.51,233.22,1738537200000,False
30m_1738539000000,BEARISH,238.51,233.22,1738539000000,False
30m_1738557000000,BEARISH,233.22,190.0,1738557000000,False
30m_1738580400000,BULLISH,239.04,190.0,1738580400000,False
30m_1738585800000,BULLISH,240.6,239.04,1738585800000,False
30m_1738589400000,BEARISH,240.6,239.04,1738589400000,False
30m_1738609200000,BULLISH,239.05,239.04,1738609200000,False
30m_1738749600000,BULLISH,275.5,239.05,1738749600000,False
30m_1738760400000,BULLISH,277.11,275.5,1738760400000,False
30m_1738846800000,BEARISH,277.11,276.42,1738846800000,False
30m_1738972800000,BULLISH,278.0,276.42,1738972800000,False
30m_1739082600000,BEARISH,278.0,276.42,1739082600000,False
30m_1739106000000,BEARISH,276.42,262.39,1739106000000,False
30m_1739260800000,BEARISH,262.39,239.05,1739260800000,False
30m_1739280600000,BULLISH,240.0,239.05,1739280600000,False
30m_1739291400000,BULLISH,250.9,242.57,1739291400000,False
30m_1739343600000,BEARISH,250.9,239.05,1739343600000,False
30m_1739388600000,BULLISH,264.89,239.05,1739388600000,False
30m_1739473200000,BEARISH,264.89,250.47,1739473200000,False
30m_1739484000000,BULLISH,277.65,250.47,1739484000000,False
30m_1739538000000,BEARISH,277.65,250.47,1739538000000,False
30m_1739759400000,BULLISH,253.22,250.47,1739759400000,False
30m_1739799000000,BULLISH,270.24,253.22,1739799000000,False
30m_1739808000000,BULLISH,274.51,270.24,1739808000000,False
30m_1739813400000,BEARISH,274.51,250.0,1739813400000,False
30m_1739885400000,BULLISH,257.78,250.0,1739885400000,False
30m_1739890800000,BEARISH,257.78,254.34,1739890800000,False
30m_1739898000000,BEARISH,254.34,247.99,1739898000000,False
30m_1740112200000,BULLISH,284.0,247.99,1740112200000,False
30m_1740249000000,BEARISH,284.0,247.99,1740249000000,False
30m_1740387600000,BEARISH,247.99,233.8,1740387600000,False
30m_1740391200000,BULLISH,238.28,233.8,1740391200000,False
30m_1740420000000,BULLISH,257.72,238.28,1740420000000,False
30m_1740436200000,BEARISH,257.72,233.72,1740436200000,False
30m_1740610800000,BULLISH,234.89,233.72,1740610800000,False
30m_1740627000000,BULLISH,236.06,234.89,1740627000000,False
30m_1740634200000,BULLISH,236.18,236.06,1740634200000,False
30m_1740664800000,BEARISH,236.18,233.72,1740664800000,False
30m_1740711600000,BEARISH,233.72,203.55,1740711600000,False
