id_fvg,type,top,bottom,created_at,filled
3m_64619,BEARISH,167.94,167.79,1745607060000.0,False
3m_64620,BEARISH,167.74,167.14,1745607240000.0,False
3m_64621,BEARISH,167.21,166.79,1745607420000.0,False
3m_64623,BULLISH,167.04,166.79,1745607780000.0,False
3m_64626,BEARISH,166.82,166.53,1745608320000.0,False
3m_64628,BULLISH,166.82,166.53,1745608680000.0,False
3m_64633,BEARISH,166.78,166.68,1745609580000.0,False
3m_64634,BEARISH,166.69,166.58,1745609760000.0,False
3m_64636,BULLISH,166.74,166.58,1745610120000.0,False
3m_64638,BEARISH,166.74,166.73,1745610480000.0,False
3m_64639,BULLISH,166.81,166.8,1745610660000.0,False
3m_64640,BULLISH,166.89,166.73,1745610840000.0,False
3m_64641,BULLISH,167.27,166.97,1745611020000.0,False
3m_64642,BULLISH,167.61,167.22,1745611200000.0,False
3m_64649,BULLISH,168.15,168.13,1745612460000.0,False
3m_64654,BEARISH,168.27,168.24,1745613360000.0,False
3m_64655,BEARISH,168.29,168.2,1745613540000.0,False
3m_64664,BULLISH,168.26,167.98,1745615160000.0,False
3m_64665,BULLISH,168.74,168.32,1745615340000.0,False
3m_64666,BULLISH,168.77,168.67,1745615520000.0,False
3m_64668,BEARISH,168.77,168.76,1745615880000.0,False
3m_64669,BEARISH,168.64,168.17,1745616060000.0,False
3m_64672,BEARISH,168.15,167.9,1745616600000.0,False
3m_64683,BEARISH,167.9,167.42,1745618580000.0,False
3m_64688,BULLISH,167.56,167.49,1745619480000.0,False
3m_64689,BULLISH,167.66,167.53,1745619660000.0,False
3m_64690,BULLISH,167.94,167.67,1745619840000.0,False
3m_64691,BULLISH,168.05,167.9,1745620020000.0,False
3m_64693,BULLISH,168.32,168.08,1745620380000.0,False
3m_64694,BULLISH,168.58,168.33,1745620560000.0,False
3m_64698,BEARISH,168.58,168.55,1745621280000.0,False
3m_64699,BEARISH,168.47,168.3,1745621460000.0,False
3m_64700,BEARISH,168.47,168.32,1745621640000.0,False
3m_64702,BEARISH,168.16,168.11,1745622000000.0,False
3m_64703,BEARISH,168.06,167.71,1745622180000.0,False
3m_64705,BULLISH,168.0,167.71,1745622540000.0,False
3m_64706,BULLISH,167.95,167.89,1745622720000.0,False
3m_64707,BEARISH,168.0,167.88,1745622900000.0,False
3m_64708,BEARISH,167.95,167.58,1745623080000.0,False
3m_64709,BEARISH,167.44,167.4,1745623260000.0,False
3m_64710,BEARISH,167.29,167.08,1745623440000.0,False
3m_64711,BEARISH,167.23,166.96,1745623620000.0,False
3m_64713,BEARISH,166.84,166.74,1745623980000.0,False
3m_64718,BEARISH,166.8,166.61,1745624880000.0,False
3m_64721,BEARISH,166.64,166.55,1745625420000.0,False
3m_64723,BULLISH,167.28,166.55,1745625780000.0,False
3m_64724,BULLISH,167.48,167.27,1745625960000.0,False
3m_64729,BULLISH,167.58,167.57,1745626860000.0,False
3m_64730,BULLISH,168.05,167.85,1745627040000.0,False
3m_64731,BULLISH,168.01,167.89,1745627220000.0,False
3m_64736,BULLISH,168.13,167.99,1745628120000.0,False
3m_64737,BULLISH,168.49,168.13,1745628300000.0,False
3m_64738,BULLISH,169.04,168.49,1745628480000.0,False
3m_64739,BULLISH,169.32,169.26,1745628660000.0,False
3m_64740,BULLISH,169.55,169.26,1745628840000.0,False
3m_64743,BEARISH,169.42,169.04,1745629380000.0,False
3m_64745,BULLISH,169.06,169.04,1745629740000.0,False
3m_64748,BULLISH,169.28,169.04,1745630280000.0,False
3m_64749,BULLISH,169.68,169.08,1745630460000.0,False
3m_64750,BULLISH,169.82,169.74,1745630640000.0,False
3m_64753,BULLISH,170.4,169.95,1745631180000.0,False
3m_64754,BULLISH,171.28,170.35,1745631360000.0,False
3m_64758,BEARISH,171.86,171.76,1745632080000.0,False
3m_64762,BULLISH,171.6,171.49,1745632800000.0,False
3m_64764,BEARISH,171.6,171.36,1745633160000.0,False
3m_64765,BEARISH,171.34,171.24,1745633340000.0,False
3m_64766,BEARISH,171.06,170.88,1745633520000.0,False
3m_64770,BULLISH,171.1,170.99,1745634240000.0,False
3m_64771,BULLISH,171.33,171.11,1745634420000.0,False
3m_64773,BEARISH,171.33,171.18,1745634780000.0,False
3m_64775,BULLISH,171.19,171.18,1745635140000.0,False
3m_64777,BULLISH,171.88,171.37,1745635500000.0,False
3m_64779,BEARISH,171.88,171.85,1745635860000.0,False
3m_64782,BEARISH,171.84,171.57,1745636400000.0,False
3m_64783,BEARISH,171.55,171.5,1745636580000.0,False
3m_64784,BEARISH,171.39,171.19,1745636760000.0,False
3m_64788,BEARISH,170.96,170.42,1745637480000.0,False
3m_64789,BEARISH,170.27,169.88,1745637660000.0,False
3m_64790,BEARISH,169.98,169.89,1745637840000.0,False
3m_64791,BEARISH,169.75,169.65,1745638020000.0,False
3m_64792,BEARISH,169.24,169.12,1745638200000.0,False
3m_64795,BEARISH,168.93,168.73,1745638740000.0,False
3m_64797,BULLISH,168.77,168.73,1745639100000.0,False
3m_64800,BEARISH,168.82,168.72,1745639640000.0,False
3m_64801,BEARISH,168.79,168.74,1745639820000.0,False
3m_64805,BULLISH,168.96,168.86,1745640540000.0,False
3m_64810,BEARISH,168.94,168.55,1745641440000.0,False
3m_64811,BEARISH,168.62,168.46,1745641620000.0,False
3m_64812,BEARISH,168.31,168.14,1745641800000.0,False
3m_64813,BEARISH,168.32,168.02,1745641980000.0,False
3m_64814,BEARISH,167.95,167.75,1745642160000.0,False
3m_64815,BEARISH,167.71,167.5,1745642340000.0,False
3m_64816,BULLISH,167.83,167.75,1745642520000.0,False
3m_64817,BULLISH,167.52,167.5,1745642700000.0,False
3m_64818,BEARISH,167.83,167.81,1745642880000.0,False
3m_64820,BEARISH,167.55,167.53,1745643240000.0,False
3m_64827,BULLISH,167.62,167.37,1745644500000.0,False
3m_64828,BULLISH,167.88,167.58,1745644680000.0,False
3m_64829,BULLISH,168.04,167.94,1745644860000.0,False
3m_64832,BULLISH,168.38,167.96,1745645400000.0,False
3m_64834,BULLISH,168.59,168.49,1745645760000.0,False
3m_64835,BULLISH,168.62,168.59,1745645940000.0,False
3m_64837,BULLISH,168.87,168.62,1745646300000.0,False
3m_64838,BULLISH,169.02,168.94,1745646480000.0,False
3m_64839,BULLISH,169.1,169.03,1745646660000.0,False
3m_64841,BEARISH,169.1,168.89,1745647020000.0,False
3m_64842,BEARISH,168.89,168.67,1745647200000.0,False
3m_64844,BULLISH,169.05,168.67,1745647560000.0,False
3m_64846,BULLISH,169.34,169.21,1745647920000.0,False
3m_64847,BULLISH,169.44,169.29,1745648100000.0,False
3m_64848,BEARISH,169.34,169.25,1745648280000.0,False
3m_64849,BEARISH,169.44,168.88,1745648460000.0,False
3m_64851,BULLISH,169.02,168.88,1745648820000.0,False
3m_64852,BULLISH,168.92,168.89,1745649000000.0,False
3m_64854,BULLISH,169.3,169.1,1745649360000.0,False
3m_64859,BULLISH,169.51,169.39,1745650260000.0,False
3m_64861,BEARISH,169.51,169.42,1745650620000.0,False
3m_64863,BULLISH,169.52,169.42,1745650980000.0,False
3m_64864,BULLISH,169.84,169.5,1745651160000.0,False
3m_64865,BULLISH,169.84,169.83,1745651340000.0,False
3m_64868,BULLISH,170.85,170.55,1745651880000.0,False
3m_64874,BULLISH,170.85,170.63,1745652960000.0,False
3m_64875,BULLISH,170.92,170.85,1745653140000.0,False
3m_64877,BEARISH,170.92,170.41,1745653500000.0,False
3m_64878,BEARISH,170.79,170.27,1745653680000.0,False
3m_64879,BULLISH,170.64,170.41,1745653860000.0,False
3m_64881,BEARISH,170.64,170.07,1745654220000.0,False
3m_64887,BULLISH,170.22,169.93,1745655300000.0,False
3m_64888,BULLISH,170.63,170.17,1745655480000.0,False
3m_64889,BULLISH,170.76,170.63,1745655660000.0,False
3m_64890,BULLISH,171.01,170.8,1745655840000.0,False
3m_64891,BULLISH,171.32,170.93,1745656020000.0,False
3m_64892,BULLISH,171.63,171.51,1745656200000.0,False
3m_64896,BEARISH,172.1,171.16,1745656920000.0,False
3m_64903,BEARISH,169.72,168.93,1745658180000.0,False
3m_64905,BULLISH,168.98,168.93,1745658540000.0,False
