id_fvg,type,top,bottom,created_at,filled
4h_1354,BEARISH,291.0,289.0,1753473600000.0,False
4h_1359,BULLISH,293.99,289.0,1753545600000.0,False
4h_1361,BULLISH,294.2,293.99,1753574400000.0,False
4h_1365,BULLISH,298.95,294.2,1753632000000.0,False
4h_1369,BEARISH,298.95,298.3,1753689600000.0,False
4h_1372,BEARISH,298.3,289.6,1753732800000.0,False
4h_1374,BULLISH,300.36,289.6,1753761600000.0,False
4h_1377,BEARISH,294.79,288.82,1753804800000.0,False
4h_1382,BEARISH,288.82,254.68,1753876800000.0,False
4h_1384,BULLISH,264.6,254.68,1753905600000.0,False
4h_1385,BULLISH,270.8,268.03,1753920000000.0,False
4h_1387,BULLISH,275.1,270.8,1753948800000.0,False
4h_1388,BULLISH,275.1,270.8,1753963200000.0,False
4h_1395,BEARISH,260.89,258.92,1754064000000.0,False
4h_1397,BEARISH,251.0,230.0,1754092800000.0,False
4h_1406,BULLISH,255.0,230.0,1754222400000.0,False
4h_1407,BULLISH,258.5,255.0,1754236800000.0,False
4h_1422,BEARISH,258.5,253.5,1754452800000.0,False
4h_1425,BULLISH,258.06,253.5,1754496000000.0,False
4h_1429,BULLISH,275.74,263.65,1754553600000.0,False
4h_1434,BULLISH,295.74,275.74,1754625600000.0,False
4h_1437,BEARISH,295.74,267.58,1754668800000.0,False
4h_1446,BULLISH,279.44,267.58,1754798400000.0,False
4h_1449,BULLISH,302.09,279.44,1754841600000.0,False
4h_1460,BEARISH,304.15,300.17,1755000000000.0,False
4h_1462,BULLISH,300.4,300.17,1755028800000.0,False
4h_1463,BULLISH,310.79,304.96,1755043200000.0,False
4h_1464,BULLISH,317.94,311.85,1755057600000.0,False
4h_1467,BULLISH,319.29,318.6,1755100800000.0,False
4h_1474,BEARISH,327.16,314.86,1755201600000.0,False
4h_1479,BEARISH,309.26,307.46,1755273600000.0,False
4h_1487,BULLISH,294.69,293.47,1755388800000.0,False
4h_1489,BULLISH,296.23,296.22,1755417600000.0,False
4h_1490,BULLISH,306.71,296.25,1755432000000.0,False
4h_1493,BEARISH,305.5,300.57,1755475200000.0,False
4h_1494,BEARISH,300.54,300.04,1755489600000.0,False
4h_1506,BULLISH,283.94,281.29,1755662400000.0,False
4h_1511,BULLISH,297.19,296.82,1755734400000.0,False
4h_1521,BULLISH,320.49,307.96,1755878400000.0,False
4h_1522,BULLISH,335.44,324.22,1755892800000.0,False
4h_1523,BULLISH,344.46,339.02,1755907200000.0,False
4h_1530,BEARISH,353.87,352.94,1756008000000.0,False
4h_1538,BEARISH,329.58,329.04,1756123200000.0,False
4h_1557,BEARISH,318.56,317.1,1756396800000.0,False
4h_1585,BULLISH,309.78,308.62,1756800000000.0,False
4h_1589,BULLISH,316.96,313.8,1756857600000.0,False
4h_1592,BULLISH,319.44,317.83,1756900800000.0,False
4h_1593,BULLISH,324.47,322.72,1756915200000.0,False
4h_1596,BEARISH,326.48,326.03,1756958400000.0,False
4h_1599,BEARISH,317.66,311.28,1757001600000.0,False
4h_1605,BEARISH,307.8,305.08,1757088000000.0,False
