Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_220115,Gamma_HEDGE_REVERSAL,SHORT,2025-09-22 01:15:00,287.57,2025-09-22 06:30:00,268.59,0.0660013214173941,SL_HIT,HEDGE_REVERSAL|MACD:-0.8786|Dist:0.019,263.12655,267.8621,265.21,HEDGE_REVERSAL,CLOSED
TH_220915,Gamma_NORMAL,LONG,2025-09-22 09:15:00,264.55,2025-09-22 14:45:00,266.64,0.007900207900207805,SL_HIT,NORMAL|MACD:0.1121|Dist:0.002,273.80924999999996,267.4287,270.13,NORMAL,CLOSED
TH_231445,Gamma_HEDGE_REVERSAL,LONG,2025-09-23 14:45:00,276.33,2025-09-24 03:15:00,271.23,-0.018456193681467687,SL_HIT,HEDGE_REVERSAL|MACD:0.4383|Dist:0.019,299.81804999999997,272.18505,279.92,HEDGE_REVERSAL,CLOSED
TH_282130,Gamma_HEDGE_REVERSAL,LONG,2025-09-28 21:30:00,270.06,2025-09-29 23:15:00,277.39,0.027142116566688825,SL_HIT,HEDGE_REVERSAL|MACD:0.0864|Dist:0.012,293.0151,277.39799999999997,280.2,HEDGE_REVERSAL,CLOSED
TH_011000,Gamma_HEDGE_REVERSAL,LONG,2025-10-01 10:00:00,283.34,2025-10-02 20:15:00,290.67,0.02586997952989356,SL_HIT,HEDGE_REVERSAL|MACD:1.1837|Dist:0.016,307.42389999999995,290.9511,293.89,HEDGE_REVERSAL,CLOSED
TH_071700,Gamma_HEDGE_REVERSAL,SHORT,2025-10-07 17:00:00,279.15,2025-10-08 17:15:00,284.16,-0.017947340139710007,SL_HIT,HEDGE_REVERSAL|MACD:-0.1957|Dist:0.013,255.42225,283.3372499999999,275.2,HEDGE_REVERSAL,CLOSED
TH_082015,Gamma_HEDGE_REVERSAL,LONG,2025-10-08 20:15:00,285.1,2025-10-09 02:30:00,279.45,-0.019817607856892436,SL_HIT,HEDGE_REVERSAL|MACD:0.0803|Dist:0.015,309.3335,280.8235,286.52,HEDGE_REVERSAL,CLOSED
TH_101815,Gamma_HEDGE_REVERSAL,SHORT,2025-10-10 18:15:00,262.24,2025-10-10 21:00:00,226.07,0.13792708968883471,TP_HIT,HEDGE_REVERSAL|MACD:-0.4933|Dist:0.065,239.9496,247.8338,226.07,HEDGE_REVERSAL,CLOSED
TH_111030,Gamma_HEDGE_REVERSAL,LONG,2025-10-11 10:30:00,241.73,2025-10-11 12:45:00,236.97,-0.01969139122161085,SL_HIT,HEDGE_REVERSAL|MACD:0.6972|Dist:0.018,262.27705,238.10405,242.95,HEDGE_REVERSAL,CLOSED
TH_121815,Gamma_HEDGE_REVERSAL,LONG,2025-10-12 18:15:00,251.31,2025-10-13 01:00:00,247.44,-0.015399307628029145,SL_HIT,HEDGE_REVERSAL|MACD:0.5277|Dist:0.068,272.67135,247.54035,255.7,HEDGE_REVERSAL,CLOSED
