Trade_ID,Strategy,Side,Entry_Time,Exit_Time,PnL_Pct,Exit_Reason,Rem_Qty,Capital_After,Closed_Qty
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.389000,1970-01-01 00:28:55.398000,0.0,,0.6116582053948253,998.0121108324669,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.377300,1970-01-01 00:28:55.398000,-0.02654681370277681,TP1_MID_BAND,0.0,995.3838155238853,0.30582910269741265
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.386300,1970-01-01 00:28:55.398000,-0.004698128609003155,TP1_MID_BAND,0.0,994.914002662985,0.3023248783142365
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.389000,1970-01-01 00:28:55.398000,0.008136099089688273,TP1_MID_BAND,0.0,995.7276125719538,0.29846291598268915
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.406100,1970-01-01 00:28:55.430400,0.0,,0.3023248783142365,999.5278362923638,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.430400,1970-01-01 00:28:55.430400,0.0,,0.3023248783142365,999.7551846008561,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.410600,1970-01-01 00:28:55.430400,-0.03744791512751566,TP1_MID_BAND,0.0,996.0263922882842,0.2942544438582564
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.430400,1970-01-01 00:28:55.430400,0.0,,0.3023248783142365,996.2537405967765,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.411500,1970-01-01 00:28:55.430400,-0.02748851230719699,TP1_MID_BAND,0.0,993.5166335234966,0.29142962875638884
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.431300,1970-01-01 00:28:55.436700,0.0,,0.29846291598268915,991.6094554903672,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.447500,1970-01-01 00:28:55.450200,0.0,,0.2942544438582564,990.0293091268484,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:55.457400,1970-01-01 00:28:55.466400,0.004845281681823608,TP1_MID_BAND,0.0,990.5090062144465,0.292319980254768
