Trade_ID,Strategy,Side,Entry_Time,Exit_Time,PnL_Pct,Exit_Reason,Rem_Qty,Capital_After,Closed_Qty
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.389000,1970-01-01 00:28:55.398000,0.0,,0.6116582053948253,1000.0,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.377300,1970-01-01 00:28:55.398000,-0.02654681370277681,TP1_MID_BAND,0.0,997.3717046914185,0.30582910269741265
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.386300,1970-01-01 00:28:55.398000,-0.004698128609003155,TP1_MID_BAND,0.0,996.9018918305181,0.3023248783142365
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.389000,1970-01-01 00:28:55.398000,0.008136099089688273,TP1_MID_BAND,0.0,997.715501739487,0.29846291598268915
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.406100,1970-01-01 00:28:55.430400,0.0,,0.3023248783142365,997.715501739487,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.430400,1970-01-01 00:28:55.430400,0.0,,0.3023248783142365,997.715501739487,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.410600,1970-01-01 00:28:55.430400,-0.03744791512751566,TP1_MID_BAND,0.0,993.9792651964323,0.294841898915301
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.430400,1970-01-01 00:28:55.430400,0.0,,0.3023248783142365,993.9792651964323,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.411500,1970-01-01 00:28:55.430400,-0.02748851230719699,TP1_MID_BAND,0.0,991.2366937115676,0.29201144429990544
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.431300,1970-01-01 00:28:55.436700,0.0,,0.29846291598268915,991.2366937115676,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.447500,1970-01-01 00:28:55.450200,0.0,,0.294841898915301,991.2366937115676,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:55.457400,1970-01-01 00:28:55.466400,0.004845281681823608,TP1_MID_BAND,0.0,991.7169758110068,0.29267647741572206
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.488900,1970-01-01 00:28:55.506000,0.0,,0.29267647741572206,991.7169758110068,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:55.482600,1970-01-01 00:28:55.506000,-0.015302115253027155,TP1_MID_BAND,0.0,990.1994390647825,0.2950397095799265
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.488900,1970-01-01 00:28:55.506000,0.0,,0.29267647741572206,990.1994390647825,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:55.488000,1970-01-01 00:28:55.506000,-0.004192490522895533,TP1_MID_BAND,0.0,989.7836626625343,0.2983684264429288
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.488900,1970-01-01 00:28:55.506000,0.0,,0.29267647741572206,989.7836626625343,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:55.503300,1970-01-01 00:28:55.506000,0.0067417951759588665,TP1_MID_BAND,0.0,990.4522579348783,0.30164460741886634
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.509600,1970-01-01 00:28:55.515900,0.0,,0.2950397095799265,990.4522579348783,
SHADOW_L_010028,SHADOW_V5,LONG,1970-01-01 00:28:55.549200,1970-01-01 00:28:55.551900,0.010646011865524052,TP1_MID_BAND,0.0,991.5066945838993,0.29677361357190574
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.566300,1970-01-01 00:28:55.579800,0.0,,0.29677361357190574,991.5066945838993,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.594200,1970-01-01 00:28:55.613100,0.0,,0.2950397095799265,991.5066945838993,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.613100,1970-01-01 00:28:55.632900,0.0,,0.2950397095799265,991.5066945838993,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.632900,1970-01-01 00:28:55.650900,0.0,,0.2983684264429288,991.5066945838993,
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.650900,1970-01-01 00:28:55.653600,0.0,,0.30164460741886634,991.5066945838993,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.386300,1970-01-01 00:28:55.653600,0.009039513861595698,TRAILING_STOP,0.0,992.4106459700588,0.3023248783142365
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.389000,1970-01-01 00:28:55.653600,0.021698253991941616,TRAILING_STOP,0.0,994.5804713692529,0.29846291598268915
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.410600,1970-01-01 00:28:55.653600,0.03135435444309824,TRAILING_STOP,0.0,997.7087439167442,0.294841898915301
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.411500,1970-01-01 00:28:55.653600,0.040653261919396035,TRAILING_STOP,0.0,1001.7647828780699,0.29201144429990544
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.377300,1970-01-01 00:28:55.654500,0.0016233052865847867,TRAILING_STOP,0.0,1001.9267408528461,0.30582910269741265
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.654500,1970-01-01 00:28:55.659900,0.02327602087810857,TP1_MID_BAND,0.0,1004.2588276266888,0.30762257932233533
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.656300,1970-01-01 00:28:55.692300,0.0,,0.29677361357190574,1004.2588276266888,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.692300,1970-01-01 00:28:55.703100,0.0038494630508907517,TP1_MID_BAND,0.0,1004.6454133517368,0.32002129556951303
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:55.697700,1970-01-01 00:28:55.703100,0.012378364716289671,TP1_MID_BAND,0.0,1005.8885215555284,0.31728131796622294
