Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,Mode,status
TH_211130,Gamma_HEDGE_REVERSAL,SHORT,2024-12-21 11:30:00,321.44,2024-12-21 13:30:00,308.31,0.04084743653558983,SL_HIT,HEDGE_REVERSAL|MACD:-1.1516|Dist:999.000,303.76079999999996,307.3329,304.29,HEDGE_REVERSAL,CLOSED
TH_211400,Gamma_HEDGE_REVERSAL,SHORT,2024-12-21 14:00:00,309.36,2024-12-21 22:15:00,299.82,0.03083785880527547,SL_HIT,HEDGE_REVERSAL|MACD:-1.0261|Dist:999.000,292.3452,299.7276,296.76,HEDGE_REVERSAL,CLOSED
TH_231100,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 11:00:00,337.88,2024-12-23 15:00:00,329.89,-0.023647448798389988,SL_HIT,HEDGE_REVERSAL|MACD:0.2111|Dist:0.016,356.4634,332.8118,340.48,HEDGE_REVERSAL,CLOSED
TH_231845,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 18:45:00,352.25,2024-12-23 21:00:00,372.08,0.056295244854506696,TP_HIT,HEDGE_REVERSAL|MACD:0.9611|Dist:0.028,371.62375,361.07280000000003,372.08,HEDGE_REVERSAL,CLOSED
TH_232130,Gamma_HEDGE_REVERSAL,LONG,2024-12-23 21:30:00,370.0,2024-12-23 23:00:00,383.61,0.03678378378378382,SL_HIT,HEDGE_REVERSAL|MACD:1.0981|Dist:0.076,390.34999999999997,384.41700000000003,388.3,HEDGE_REVERSAL,CLOSED
TH_260415,Gamma_HEDGE_REVERSAL,SHORT,2024-12-26 04:15:00,355.4,2024-12-26 11:15:00,343.14,0.03449634214969047,SL_HIT,HEDGE_REVERSAL|MACD:-0.5187|Dist:0.030,335.85299999999995,342.592,339.2,HEDGE_REVERSAL,CLOSED
TH_271545,Gamma_HEDGE_REVERSAL,SHORT,2024-12-27 15:45:00,325.67,2024-12-28 12:00:00,331.99,-0.01940614732704883,SL_HIT,HEDGE_REVERSAL|MACD:-1.1839|Dist:0.022,307.75815,330.55505,320.08,HEDGE_REVERSAL,CLOSED
TH_291645,Gamma_HEDGE_REVERSAL,SHORT,2024-12-29 16:45:00,331.61,2024-12-30 00:00:00,337.46,-0.017641205030005023,SL_HIT,HEDGE_REVERSAL|MACD:-0.5023|Dist:0.016,313.37145,336.58414999999997,327.64,HEDGE_REVERSAL,CLOSED
TH_310100,Gamma_HEDGE_REVERSAL,SHORT,2024-12-31 01:00:00,312.91,2024-12-31 13:15:00,319.01,-0.0194944233166085,SL_HIT,HEDGE_REVERSAL|MACD:-1.0126|Dist:0.024,295.69995,317.60365,308.96,HEDGE_REVERSAL,CLOSED
TH_012100,Gamma_HEDGE_REVERSAL,LONG,2025-01-01 21:00:00,319.66,2025-01-02 00:45:00,324.82,0.016142151035475092,SL_HIT,HEDGE_REVERSAL|MACD:0.3800|Dist:0.015,337.2413,324.9081,328.19,HEDGE_REVERSAL,CLOSED
