Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Fibo_Target,Mode,status,Is_Risk_Free,Peak_Price,Rem_Qty,TP1_Hit,TP2_Hit,SL
G_010028,GAMMA,SHORT,1970-01-01 00:28:54.780600,321.44,1970-01-01 00:28:54.780600,304.29,0.053353658536585295,TP_FULL,306.9752,GAMMA_HEDGE,CLOSED,True,304.29,1.0,False,False,312.49719999999996
G_010028,GAMMA,SHORT,1970-01-01 00:28:54.781500,321.48,1970-01-01 00:28:54.781500,304.29,0.05347144456886897,TP_FULL,307.0134,GAMMA_HEDGE,CLOSED,True,304.29,1.0,False,False,312.49739999999997
G_010028,GAMMA,SHORT,1970-01-01 00:28:54.787800,308.31,1970-01-01 00:28:54.803100,305.45,0.009276377671823858,SL_HIT,294.43604999999997,GAMMA_HEDGE,CLOSED,True,303.4,1.0,False,False,304.94154999999995
G_010028,GAMMA,SHORT,1970-01-01 00:28:54.789600,309.36,1970-01-01 00:28:54.803100,305.45,0.012638996638220924,SL_HIT,295.4388,GAMMA_HEDGE,CLOSED,True,303.4,1.0,False,False,304.9468
G_010028,GAMMA,LONG,1970-01-01 00:28:54.951600,337.88,1970-01-01 00:28:54.966000,329.89,-0.023647448798389988,SL_HIT,353.08459999999997,GAMMA_HEDGE,CLOSED,False,340.48,1.0,False,False,332.8118
G_010028,GAMMA,LONG,1970-01-01 00:28:54.979500,352.25,1970-01-01 00:28:54.979500,372.08,0.056295244854506696,TP_FULL,368.10125,GAMMA_HEDGE,CLOSED,True,372.08,1.0,False,False,362.95875
G_010028,GAMMA,LONG,1970-01-01 00:28:54.983100,357.58,1970-01-01 00:28:54.989400,370.0,0.03473348621287549,SL_HIT,373.67109999999997,GAMMA_HEDGE,CLOSED,True,372.08,1.0,False,False,370.2921
G_010028,GAMMA,LONG,1970-01-01 00:28:54.989400,370.0,1970-01-01 00:28:54.989400,388.3,0.04945945945945949,TP_FULL,386.65,GAMMA_HEDGE,CLOSED,True,388.3,1.0,False,False,381.96999999999997
G_010028,GAMMA,LONG,1970-01-01 00:28:54.994800,383.61,1970-01-01 00:28:55.002900,375.86,-0.020202810145720913,SL_HIT,400.87245,GAMMA_HEDGE,CLOSED,False,386.12,1.0,False,False,377.85585000000003
G_010028,GAMMA,SHORT,1970-01-01 00:28:55.186500,355.4,1970-01-01 00:28:55.196400,351.76,0.010241980866629112,SL_HIT,339.407,GAMMA_HEDGE,CLOSED,True,349.74,1.0,False,False,351.517
