ID,Side,Entry_Date,Exit_Date,Reason,PnL_USD
S_1734922800,SHORT,2024-12-23 03:00:00,2025-04-11 00:45:00,CASHFLOW_TAKE,54.68
S_1734922800,SHORT,2024-12-23 03:00:00,2025-04-12 18:45:00,SHADOW_TRAIL,105.92
