Trade_ID,Strategy,Side,Entry_Time,Exit_Time,PnL_Pct,Rem_Qty,Capital_After
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.386300,1970-01-01 00:28:55.398000,0.0,0.613986615091791,1000.0
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.398000,1970-01-01 00:28:55.430400,0.0,0.6126512482769184,1000.0
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.430400,1970-01-01 00:28:55.436700,0.0,0.6083465141744738,1000.0
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.436700,1970-01-01 00:28:55.450200,0.0,0.6126512482769184,1000.0
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.450200,1970-01-01 00:28:55.481700,0.0,0.604649756628473,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.481700,1970-01-01 00:28:55.516800,0.0,0.5853430110044486,1000.0
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.521300,1970-01-01 00:28:55.524900,0.0,0.5969258319653783,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.550100,1970-01-01 00:28:55.552800,0.0,0.5905279319711823,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.565400,1970-01-01 00:28:55.579800,0.0,0.5905279319711823,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.586100,1970-01-01 00:28:55.613100,0.0,0.59509640561771,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.613100,1970-01-01 00:28:55.632900,0.0,0.5905279319711823,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.632900,1970-01-01 00:28:55.650900,0.0,0.59509640561771,1000.0
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.650900,1970-01-01 00:28:55.653600,0.0,0.6017209218364523,1000.0
SHADOW_S_010028,SHADOW_V4,SHORT,1970-01-01 00:28:55.376400,1970-01-01 00:28:55.653600,0.002330978491467401,0.613986615091791,1000.4702113776727
SHADOW_S_010028,SHADOW_V4,SHORT,1970-01-01 00:28:55.378200,1970-01-01 00:28:55.653600,0.002980897919454977,0.6083465141744738,1001.0663909615637
SHADOW_S_010028,SHADOW_V4,SHORT,1970-01-01 00:28:55.386300,1970-01-01 00:28:55.653600,0.009039513861595698,0.604649756628473,1002.8742937338828
SHADOW_S_010028,SHADOW_V4,SHORT,1970-01-01 00:28:55.389000,1970-01-01 00:28:55.653600,0.021698253991941616,0.5969258319653783,1007.2139445322712
SHADOW_S_010028,SHADOW_V4,SHORT,1970-01-01 00:28:55.380000,1970-01-01 00:28:55.654500,0.002297442181038444,0.6126512482769184,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.655400,1970-01-01 00:28:55.692300,0.0,0.6051620321341039,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.692300,1970-01-01 00:28:55.715700,0.0,0.5905279319711823,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.715700,1970-01-01 00:28:55.731000,0.0,0.6017209218364523,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.731000,1970-01-01 00:28:55.739100,0.0,0.59509640561771,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,SHORT,1970-01-01 00:28:55.739100,1970-01-01 00:28:55.746300,0.0,0.6051620321341039,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.746300,1970-01-01 00:28:55.750800,0.0,0.6422188158238927,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.762500,1970-01-01 00:28:55.782300,0.0,0.6415645961662234,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.782300,1970-01-01 00:28:55.832700,0.0,0.6422188158238927,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.832700,1970-01-01 00:28:55.849800,0.0,0.6422188158238927,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.849800,1970-01-01 00:28:55.866900,0.0,0.6367202280857316,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.866900,1970-01-01 00:28:55.877700,0.0,0.6415645961662234,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.877700,1970-01-01 00:28:55.888500,0.0,0.6316711693894241,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.905600,1970-01-01 00:28:55.926300,0.0,0.6415645961662234,1007.6734329684789
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:55.926300,1970-01-01 00:28:55.950600,0.0,0.6422188158238927,1007.6734329684789
