Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
SN_021734,Sniper_1H_1m,LONG,2025-04-02 17:34:00,162.48,2025-04-02 17:42:00,161.44,-0.006400787789266323,SL_SNIPER,NearLevel:161.87|Dist:0.0000,165.40464,161.50511999999998,162.48,CLOSED
SN_021743,Sniper_1H_1m,LONG,2025-04-02 17:43:00,161.2,2025-04-02 19:57:00,164.29,0.01916873449131516,TP_SNIPER,NearLevel:161.87|Dist:0.0000,164.1016,160.2328,161.2,CLOSED
SN_022010,Sniper_1H_1m,LONG,2025-04-02 20:10:00,161.23,2025-04-02 20:14:00,166.35,0.03175587669788504,TP_SNIPER,NearLevel:160.77|Dist:0.0006,164.13214,160.26262,161.23,CLOSED
SN_022030,Sniper_1H_1m,LONG,2025-04-02 20:30:00,161.46,2025-04-02 20:36:00,159.75,-0.010590858416945423,SL_SNIPER,NearLevel:160.77|Dist:0.0006,164.36628000000002,160.49124,161.46,CLOSED
SN_022037,Sniper_1H_1m,LONG,2025-04-02 20:37:00,159.72,2025-04-02 20:43:00,158.75,-0.006073127973954413,SL_SNIPER,NearLevel:160.77|Dist:0.0006,162.59496000000001,158.76167999999998,159.72,CLOSED
SN_022045,Sniper_1H_1m,LONG,2025-04-02 20:45:00,159.1,2025-04-02 21:09:00,157.87,-0.007730986800754179,SL_SNIPER,NearLevel:160.77|Dist:0.0006,161.9638,158.1454,159.1,CLOSED
SN_030042,Sniper_1H_1m,SHORT,2025-04-03 00:42:00,153.68,2025-04-03 01:29:00,154.65,-0.006311816762103063,SL_SNIPER,NearLevel:154.00|Dist:0.0011,150.91376,154.60208,153.68,CLOSED
SN_030400,Sniper_1H_1m,SHORT,2025-04-03 04:00:00,155.23,2025-04-03 04:43:00,156.64,-0.009083295754686574,SL_SNIPER,NearLevel:156.85|Dist:0.0020,152.43586,156.16137999999998,155.23,CLOSED
SN_030444,Sniper_1H_1m,SHORT,2025-04-03 04:44:00,156.76,2025-04-03 06:31:00,153.93,0.0180530747639703,TP_SNIPER,NearLevel:156.85|Dist:0.0020,153.93831999999998,157.70056,156.76,CLOSED
SN_030635,Sniper_1H_1m,LONG,2025-04-03 06:35:00,153.63,2025-04-03 07:11:00,152.6,-0.006704419709692125,SL_SNIPER,NearLevel:153.29|Dist:0.0016,156.39534,152.70821999999998,153.63,CLOSED
