Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Mode,status,Rem_Qty,Initial_Qty,Margin_USD,Invested_USD,tp1_hit,tp2_hit,Max_Adverse_Price,Max_Favorable_Price,SL,TP1_Price,TP2_Price,Closed_Qty,Capital_After,Max_DD_During_Trade,Post_SL_Recovery,Post_SL_TP1_Hit
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.436700,343.64,1970-01-01 00:28:55.488900,330.78,0.03742288441392159,TP1_HIT,GAMMA_HEDGE,OPEN,0,4.365033174252124,150.0,1500.0,False,False,347.1,330.78,341.92179999999996,331.6126,328.1762,2.182516587126062,1028.0671633104412,-0.010068676521941673,,
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.437600,343.31,1970-01-01 00:28:55.488900,330.78,0.036497626052256066,TP1_HIT,GAMMA_HEDGE,OPEN,0,4.369228976726574,150.0,1500.0,False,False,347.1,330.78,341.59345,331.29415,327.86105,2.184614488363287,1055.4403828496331,-0.011039585214529203,,
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.436700,343.64,1970-01-01 00:28:55.509600,327.75,0.046240251425910796,TP2_HIT,GAMMA_HEDGE,OPEN,0,4.365033174252124,150.0,1500.0,True,False,347.1,327.75,332.0577,331.6126,328.1762,0.8730066348504248,1069.3124582774064,-0.010068676521941673,,
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.437600,343.31,1970-01-01 00:28:55.509600,327.75,0.045323468585243665,TP2_HIT,GAMMA_HEDGE,OPEN,0,4.369228976726574,150.0,1500.0,True,False,347.1,327.75,332.0577,331.29415,327.86105,0.8738457953453148,1082.9094988529796,-0.011039585214529203,,
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.436700,343.64,1970-01-01 00:28:55.511400,331.17,0.03628797578861591,SL_HIT,GAMMA_HEDGE,OPEN,0,4.365033174252124,150.0,1500.0,True,True,347.1,327.75,331.0275,331.6126,328.1762,1.3095099522756373,1099.2390879578568,-0.010068676521941673,True,True
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.437600,343.31,1970-01-01 00:28:55.511400,331.17,0.03536162651830703,SL_HIT,GAMMA_HEDGE,OPEN,0,4.369228976726574,150.0,1500.0,True,True,347.1,327.75,331.0275,331.29415,327.86105,1.3107686930179723,1115.1518198910949,-0.011039585214529203,True,True
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.521300,341.06,1970-01-01 00:28:55.536600,340.29,0.0022576672726206,SL_HIT,GAMMA_NORMAL,OPEN,0,4.9044969502041935,167.27277298366423,1672.7277298366423,False,False,343.91,334.37,339.3547,329.1229,325.71229999999997,4.9044969502041935,1118.928282542752,-0.008356300944115472,True,True
ECO_010028,GAMMA,LONG,1970-01-01 00:28:55.549200,333.74,1970-01-01 00:28:55.563600,335.32,0.00473422424641932,SL_HIT,GAMMA_NORMAL,OPEN,0,5.029041840397099,167.8392423814128,1678.3924238141278,False,False,333.18,340.56,335.40869999999995,345.42089999999996,348.75829999999996,5.029041840397099,1126.8741686505793,-0.0016779528974650993,True,False
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.516800,337.7,1970-01-01 00:28:55.594200,323.83,0.04107195735860233,TP1_HIT,GAMMA_NORMAL,OPEN,0,4.9532950246865335,167.27277298366423,1672.7277298366423,False,False,343.91,323.83,336.0115,325.8805,322.5035,2.4766475123432667,1161.2252696467804,-0.01838910275392371,,
ECO_010028,GAMMA,SHORT,1970-01-01 00:28:55.516800,337.7,1970-01-01 00:28:55.599600,320.5,0.050932780574474354,TP2_HIT,GAMMA_NORMAL,OPEN,0,4.9532950246865335,167.27277298366423,1672.7277298366423,True,False,343.91,320.5,327.06829999999997,325.8805,322.5035,0.9906590049373067,1178.264604531702,-0.01838910275392371,,
