Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Mode,status,Peak_Price,Rem_Qty,Invested_USD,SL,TP_Target,Capital_After
ECO_290145,GAMMA,SHORT,2024-12-29 01:45:00,343.64,2024-12-29 09:30:00,339.36,0.012454894657199315,SL_HIT,GAMMA_HEDGE,CLOSED,343.64,1.3095099522756373,450.0,339.23774999999995,331.6126,1005.6047025957397
ECO_290200,GAMMA,SHORT,2024-12-29 02:00:00,343.31,2024-12-29 09:30:00,339.36,0.011505636305379945,SL_HIT,GAMMA_HEDGE,CLOSED,343.31,1.310768693017972,450.0,339.23774999999995,331.29415,1010.7822389331607
ECO_291545,GAMMA,SHORT,2024-12-29 15:45:00,333.89,2024-12-29 21:30:00,330.45,0.01030279433346311,SL_HIT,GAMMA_HEDGE,CLOSED,333.89,1.3622810132676102,454.8520075199223,330.41384999999997,322.20385,1015.4684856188012
ECO_291600,GAMMA,SHORT,2024-12-29 16:00:00,332.38,2024-12-30 00:00:00,337.7,-0.01600577652084961,SL_HIT,GAMMA_HEDGE,CLOSED,332.38,1.368469846320243,454.8520075199223,337.36569999999995,320.7467,1008.1882260363775
ECO_300115,GAMMA,SHORT,2024-12-30 01:15:00,341.06,2024-12-30 05:00:00,338.0,0.008972028382102863,SL_HIT,GAMMA_NORMAL,CLOSED,341.06,1.3302196144853395,453.6847017163699,336.04184999999995,329.1229,1012.2586980567027
ECO_300900,GAMMA,LONG,2024-12-30 09:00:00,333.74,2024-12-30 12:30:00,337.91,0.012494756397195468,SL_HIT,GAMMA_NORMAL,CLOSED,333.74,1.3648840837943195,455.5164141255162,338.8572,345.42089999999996,1017.950264686125
ECO_300000,GAMMA,SHORT,2024-12-30 00:00:00,337.7,2024-12-30 16:00:00,331.07,0.0196328101865561,SL_HIT,GAMMA_NORMAL,CLOSED,337.7,1.3434548466578913,453.6847017163699,327.8712,325.8805,1026.8573703194668
ECO_301330,GAMMA,LONG,2024-12-30 13:30:00,329.07,2024-12-30 23:00:00,320.5,-0.02604309113562462,SL_HIT,GAMMA_NORMAL,CLOSED,329.07,1.3920370106930327,458.07761910875627,322.4994,340.58745,1014.9276131378275
ECO_302330,GAMMA,LONG,2024-12-30 23:30:00,321.4,2024-12-31 00:45:00,314.53,-0.021375233354075932,SL_HIT,GAMMA_NORMAL,CLOSED,321.4,1.4210249717237786,456.7174259120224,314.972,332.64899999999994,1005.1651715820851
ECO_302345,GAMMA,LONG,2024-12-30 23:45:00,322.06,2024-12-31 00:45:00,314.53,-0.023380736508725172,SL_HIT,GAMMA_NORMAL,CLOSED,322.06,1.418112854474391,456.7174259120224,315.6188,333.33209999999997,994.4867817878929
ECO_310045,GAMMA,SHORT,2024-12-31 00:45:00,314.53,2024-12-31 07:45:00,311.06,0.01103233395860481,SL_HIT,GAMMA_HEDGE,CLOSED,314.53,1.4228183378518802,447.51905180455185,310.67564999999996,303.52144999999996,999.4239614202389
ECO_310815,GAMMA,SHORT,2024-12-31 08:15:00,317.28,2024-12-31 12:15:00,315.54,0.00548411497730696,SL_HIT,GAMMA_NORMAL,CLOSED,317.28,1.4174885988373285,449.7407826391075,314.0223,306.17519999999996,1001.8903915822158
ECO_310100,GAMMA,SHORT,2024-12-31 01:00:00,313.0,2024-12-31 13:15:00,319.17,-0.019712460063897815,SL_HIT,GAMMA_HEDGE,CLOSED,313.0,1.4297733284490475,447.51905180455185,317.695,302.045,993.0686901456852
