Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_202412202100,TrendHunter_Gamma,LONG,2024-12-20 21:00:00,321.03,2024-12-21 04:00:00,329.31,0.025791982057751708,TRAILING_STOP_SMART,Trend_Impulse,337.08,310.5171428571428,335.52,CLOSED
TH_202412210745,TrendHunter_Gamma,LONG,2024-12-21 07:45:00,336.71,2024-12-21 08:30:00,328.29,-0.025006682308217634,SL_ATR_DYNAMIC,Trend_Impulse,353.55,328.90285714285716,336.71,CLOSED
TH_202412212230,TrendHunter_Gamma,SHORT,2024-12-21 22:30:00,300.64,2024-12-22 09:30:00,307.23,-0.02191990420436413,SL_ATR_DYNAMIC,Trend_Impulse,285.61,307.16714285714284,292.88,CLOSED
TH_202412231300,TrendHunter_Gamma,LONG,2024-12-23 13:00:00,335.34,2024-12-23 22:00:00,375.98,0.1211904335897896,TP_FIBONACCI_EXT,Trend_Impulse,372.12,328.9728571428571,375.98,CLOSED
TH_202412240115,TrendHunter_Gamma,LONG,2024-12-24 01:15:00,375.86,2024-12-26 00:30:00,364.23,-0.03094237215984674,SL_ATR_DYNAMIC,Trend_Impulse,428.29,364.64714285714285,384.3,CLOSED
TH_202412261115,TrendHunter_Gamma,SHORT,2024-12-26 11:15:00,343.14,2024-12-26 11:30:00,341.75,0.004050824736259213,TP_FIBONACCI_EXT,Trend_Impulse,352.03,349.05,341.75,CLOSED
TH_202412261400,TrendHunter_Gamma,SHORT,2024-12-26 14:00:00,341.17,2024-12-26 14:15:00,338.42,0.008060497699094293,TP_FIBONACCI_EXT,Trend_Impulse,352.03,345.71285714285716,338.42,CLOSED
TH_202412261515,TrendHunter_Gamma,SHORT,2024-12-26 15:15:00,338.07,2024-12-26 15:30:00,335.72,0.006951223119472198,TP_FIBONACCI_EXT,Trend_Impulse,352.03,342.86285714285714,335.72,CLOSED
TH_202412261600,TrendHunter_Gamma,SHORT,2024-12-26 16:00:00,338.15,2024-12-26 16:15:00,337.42,0.0021588052639360087,TP_FIBONACCI_EXT,Trend_Impulse,352.03,343.49571428571426,337.42,CLOSED
TH_202412261630,TrendHunter_Gamma,SHORT,2024-12-26 16:30:00,338.46,2024-12-26 16:45:00,338.31,0.00044318383265371766,TP_FIBONACCI_EXT,Trend_Impulse,352.03,343.8771428571428,338.31,CLOSED
