Fecha,Estrategia,Side,RSI,SAI_Score,SAI_Level,Accion
1970-01-01 00:29:04.088100,SCALPING_GAMMA,SHORT,77.4436090225563,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.096500,SCALPING_GAMMA,LONG,23.783783783783733,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.113600,SCALPING_GAMMA,SHORT,71.51639344262321,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.126500,SCALPING_GAMMA,LONG,32.03703703703698,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.134000,SCALPING_GAMMA,LONG,38.55835240274601,45,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.162500,SCALPING_GAMMA,LONG,38.83792048929662,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.174500,SCALPING_GAMMA,SHORT,70.37037037037028,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.221900,SCALPING_GAMMA,SHORT,82.40917782026774,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.222200,SCALPING_GAMMA,SHORT,84.08304498269902,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.223400,SCALPING_GAMMA,SHORT,75.84745762711857,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.230300,SCALPING_GAMMA,SHORT,71.21771217712137,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.232700,SCALPING_GAMMA,SHORT,76.03773584905646,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.242000,SCALPING_GAMMA,LONG,33.108108108108,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.256400,SCALPING_GAMMA,LONG,16.7832167832168,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.270800,SCALPING_GAMMA,LONG,27.871939736346462,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.293000,SCALPING_GAMMA,LONG,31.366906474820325,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.300500,SCALPING_GAMMA,LONG,14.476614699331948,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.317900,SCALPING_GAMMA,SHORT,75.73099415204716,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.352400,SCALPING_GAMMA,SHORT,63.80208333333325,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.411200,SCALPING_GAMMA,LONG,23.11557788944752,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.429200,SCALPING_GAMMA,LONG,24.864864864865385,45,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.431300,SCALPING_GAMMA,LONG,23.19749216300923,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.446900,SCALPING_GAMMA,SHORT,73.07001795332157,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:04.464000,SCALPING_GAMMA,SHORT,60.28513238289191,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:04.467300,SCALPING_GAMMA,SHORT,72.75862068965515,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
