Timestamp,Timeframe,Signal_Type,Signal_Price,In_FVG,Max_Advance_Pct,Max_Drawdown_Pct,RSI_T0,RSI_T-1,RSI_T-2,RSI_T-3,RSI_T-4,VOLUME_T0,VOLUME_T-1,VOLUME_T-2,VOLUME_T-3,VOLUME_T-4,MACD_T0,MACD_T-1,MACD_T-2,MACD_T-3,MACD_T-4,ADX_T0,ADX_T-1,ADX_T-2,ADX_T-3,ADX_T-4,ATR_T0,ATR_T-1,ATR_T-2,ATR_T-3,ATR_T-4
2025-01-15,1d,SHORT_MID,316.411,True,39.12,19.62,50.02836477095449,44.79003447195236,37.9604239235159,34.43317588218952,29.62401455427533,238759.852,166640.496,316087.272,78375.505,80313.229,-7.887957941727677,-10.035542774457497,-10.146306793331462,-9.53428113315482,-8.446433383138071,61.52770526640893,63.32238654708463,65.6885130391017,68.32671770205862,70.03945344715619,25.803571428571423,24.26642857142857,24.722857142857134,23.652857142857137,24.93714285714285
2025-01-16,1d,LONG_MID,315.772,True,19.86,39.0,41.81550900404264,50.02836477095449,44.79003447195236,37.9604239235159,34.43317588218952,161303.479,238759.852,166640.496,316087.272,78375.505,-6.808705346948216,-7.887957941727677,-10.035542774457497,-10.146306793331462,-9.53428113315482,59.861215505781495,61.52770526640893,63.32238654708463,65.6885130391017,68.32671770205862,25.47428571428571,25.803571428571423,24.26642857142857,24.722857142857134,23.652857142857137
2025-01-17,1d,SHORT_MID,314.8115,True,38.81,20.23,44.53086679279658,41.81550900404264,50.02836477095449,44.79003447195236,37.9604239235159,167317.241,161303.479,238759.852,166640.496,316087.272,-3.9742059596201775,-6.808705346948216,-7.887957941727677,-10.035542774457497,-10.146306793331462,58.5851003402656,59.861215505781495,61.52770526640893,63.32238654708463,65.6885130391017,24.519285714285708,25.47428571428571,25.803571428571423,24.26642857142857,24.722857142857134
2025-01-18,1d,LONG_MID,313.953,True,20.56,38.64,38.84727295239274,44.53086679279658,41.81550900404264,50.02836477095449,44.79003447195236,220504.431,167317.241,161303.479,238759.852,166640.496,-3.273282440093965,-3.9742059596201775,-6.808705346948216,-7.887957941727677,-10.035542774457497,57.29608646653151,58.5851003402656,59.861215505781495,61.52770526640893,63.32238654708463,25.475,24.519285714285708,25.47428571428571,25.803571428571423,24.26642857142857
2025-01-19,1d,LONG_MID,313.3205,True,20.8,38.52,39.76804613727106,38.84727295239274,44.53086679279658,41.81550900404264,50.02836477095449,542806.161,220504.431,167317.241,161303.479,238759.852,-3.178219483882856,-3.273282440093965,-3.9742059596201775,-6.808705346948216,-7.887957941727677,55.64110799759103,57.29608646653151,58.5851003402656,59.861215505781495,61.52770526640893,28.495,25.475,24.519285714285708,25.47428571428571,25.803571428571423
2025-01-20,1d,SHORT,361.6704,False,46.74,4.65,48.93112917990415,39.76804613727106,38.84727295239274,44.53086679279658,41.81550900404264,1016783.784,542806.161,220504.431,167317.241,161303.479,-0.8243300511375651,-3.178219483882856,-3.273282440093965,-3.9742059596201775,-6.808705346948216,54.4400471228288,55.64110799759103,57.29608646653151,58.5851003402656,59.861215505781495,32.04714285714286,28.495,25.475,24.519285714285708,25.47428571428571
2025-01-20,1d,SHORT_MID,314.756,True,38.8,20.25,48.93112917990415,39.76804613727106,38.84727295239274,44.53086679279658,41.81550900404264,1016783.784,542806.161,220504.431,167317.241,161303.479,-0.8243300511375651,-3.178219483882856,-3.273282440093965,-3.9742059596201775,-6.808705346948216,54.4400471228288,55.64110799759103,57.29608646653151,58.5851003402656,59.861215505781495,32.04714285714286,28.495,25.475,24.519285714285708,25.47428571428571
2025-01-21,1d,SHORT,370.4964,False,48.01,0.51,67.33564764591019,48.93112917990415,39.76804613727106,38.84727295239274,44.53086679279658,684136.842,1016783.784,542806.161,220504.431,167317.241,3.683296485071821,-0.8243300511375651,-3.178219483882856,-3.273282440093965,-3.9742059596201775,53.5662119242684,54.4400471228288,55.64110799759103,57.29608646653151,58.5851003402656,33.017857142857146,32.04714285714286,28.495,25.475,24.519285714285708
2025-01-22,1d,SHORT,372.3094,False,48.26,-3.96,63.681132656201896,67.33564764591019,48.93112917990415,39.76804613727106,38.84727295239274,233350.263,684136.842,1016783.784,542806.161,220504.431,5.246442101930256,3.683296485071821,-0.8243300511375651,-3.178219483882856,-3.273282440093965,52.75479352560517,53.5662119242684,54.4400471228288,55.64110799759103,57.29608646653151,32.337857142857146,33.017857142857146,32.04714285714286,28.495,25.475
2025-01-27,1d,LONG_MID,314.359,True,11.09,38.72,53.58962482630847,56.94943220421237,59.95835872435508,62.95515624176635,64.65625,321955.984,111837.022,113108.822,239363.708,275833.043,1.6362456173523017,3.678592856387184,5.061972890844288,5.750112892775405,5.674246307708927,43.694697120293576,46.4912796266954,48.26182712630566,49.650746724221136,51.05876477380674,32.64142857142858,33.24,32.59142857142858,32.67857142857143,32.306428571428576
2025-01-30,1d,SHORT_MID,315.8765,True,39.02,10.56,50.91901331586988,43.21815368746776,47.539634410465226,53.58962482630847,56.94943220421237,174687.445,216684.912,181046.333,321955.984,111837.022,-3.2458364090969667,-3.6620480911375353,-1.6505648476164083,1.6362456173523017,3.678592856387184,36.40505726770274,38.16124801445336,40.82550128763568,43.694697120293576,46.4912796266954,33.43857142857143,32.07142857142857,33.41785714285715,32.64142857142858,33.24
2025-01-31,1d,SHORT_MID,318.152,True,39.45,4.84,49.442345745637695,50.91901331586988,43.21815368746776,47.539634410465226,53.58962482630847,335111.11,174687.445,216684.912,181046.333,321955.984,-1.505091229047025,-3.2458364090969667,-3.6620480911375353,-1.6505648476164083,1.6362456173523017,35.56540214467124,36.40505726770274,38.16124801445336,40.82550128763568,43.694697120293576,34.21857142857143,33.43857142857143,32.07142857142857,33.41785714285715,32.64142857142858
