Trade_ID,Side,Entry_Time,Exit_Time,PnL_Pct,Max_Drawdown,Exit_Reason,Pre_Entry_1_RSI_M5,Pre_Entry_1_BB_Pos_H1,Has_Severe_DD,DD_Depth,Pre_Crash_1_RSI_M5,Pre_Crash_2_RSI_M5,Pre_Crash_3_RSI_M5,Pre_Crash_4_RSI_M5,Pre_Crash_5_RSI_M5,Pre_Entry_2_RSI_M5,Pre_Entry_2_BB_Pos_H1,Pre_Entry_3_RSI_M5,Pre_Entry_3_BB_Pos_H1,Pre_Entry_4_RSI_M5,Pre_Entry_4_BB_Pos_H1,Pre_Entry_5_RSI_M5,Pre_Entry_5_BB_Pos_H1
TRD_202412140025_100,SHORT,2024-12-14 00:25:00,2024-12-15 17:54:00,-2.0,-2.89,STOP_LOSS,100.0,0.5,True,-0.028884407869638577,100.0,100.0,100.0,100.0,100.0,,,,,,,,
TRD_202412151754_2589,SHORT,2024-12-15 17:54:00,2024-12-17 12:44:00,-2.0,-3.19,STOP_LOSS,100.0,1.5621322893123946,True,-0.03194025107262038,100.0,100.0,100.0,100.0,100.0,100.0,1.5621322893123946,100.0,1.5621322893123946,100.0,1.5621322893123946,100.0,1.5621322893123946
TRD_202412171244_5159,SHORT,2024-12-17 12:44:00,2024-12-19 05:14:00,6.22,-1.94,TRAILING_WIN,100.0,1.5452935099331113,True,-0.019444444444444445,100.0,100.0,100.0,100.0,100.0,100.0,1.5452935099331113,100.0,1.5452935099331113,100.0,1.5452935099331113,100.0,1.5452935099331113
TRD_202412190514_7589,SHORT,2024-12-19 05:14:00,2024-12-20 10:57:00,23.88,0.0,TRAILING_WIN,100.0,1.5621322893137317,False,0.0,,,,,,100.0,1.5621322893137317,100.0,1.5621322893137317,100.0,1.5621322893137317,100.0,1.5621322893137317
TRD_202412201057_9372,LONG,2024-12-20 10:57:00,2024-12-23 23:13:00,36.47,-0.89,TRAILING_WIN,0.0,0.3183558394700769,False,0.0,,,,,,0.0,0.3183558394700769,0.0,0.3183558394700769,0.0,0.3183558394700769,0.0,0.3183558394700769
TRD_202412232313_14428,SHORT,2024-12-23 23:13:00,2024-12-27 20:15:00,6.84,-0.87,TRAILING_WIN,100.0,1.0156552221891841,False,0.0,,,,,,100.0,1.0156552221891841,100.0,1.0156552221891841,100.0,1.0156552221891841,100.0,1.0156552221891841
TRD_202412272015_20010,SHORT,2024-12-27 20:15:00,2024-12-28 10:01:00,-1.5,-2.0,TRAILING_LOSS,100.0,0.5,True,-0.01999886691972127,100.0,100.0,100.0,100.0,100.0,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5
TRD_202412281001_20836,SHORT,2024-12-28 10:01:00,2024-12-29 09:09:00,4.75,-4.48,TRAILING_WIN,100.0,0.5,False,0.0,,,,,,100.0,0.5,100.0,0.5,100.0,0.5,100.0,0.5
TRD_202412290909_22224,LONG,2024-12-29 09:09:00,2024-12-31 10:01:00,-2.0,-11.78,STOP_LOSS,0.0,0.5,True,-0.11784034898872577,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
TRD_202412311001_25156,LONG,2024-12-31 10:01:00,2025-01-05 12:39:00,21.79,-10.47,TRAILING_WIN,0.0,-0.5621322893124904,True,-0.10473964420205163,0.0,0.0,0.0,0.0,0.0,0.0,-0.5621322893124904,0.0,0.5,0.0,0.5,0.0,0.5
TRD_202501051239_32514,LONG,2025-01-05 12:39:00,2025-01-07 15:21:00,-2.0,-7.3,STOP_LOSS,0.0,0.10770506212567918,True,-0.07301743613508654,0.0,0.0,0.0,0.0,0.0,0.0,0.10770506212567918,0.0,0.10770506212567918,0.0,0.10770506212567918,0.0,0.10770506212567918
TRD_202501071521_35556,LONG,2025-01-07 15:21:00,2025-01-08 04:12:00,-2.0,-20.25,STOP_LOSS,0.0,-0.5620929189416035,True,-0.20246305418719213,0.0,0.0,0.0,0.0,0.0,0.0,-0.5620929189416035,0.0,-0.5620929189416035,0.0,-0.5620929189416035,0.0,-0.5620929189416035
TRD_202501080412_36327,LONG,2025-01-08 04:12:00,2025-01-15 02:36:00,4.14,-5.42,TRAILING_WIN,0.0,-0.4977755868205389,False,0.0,,,,,,0.0,-0.4977755868205389,0.0,-0.4977755868205389,0.0,-0.4977755868205389,0.0,-0.4977755868205389
TRD_202501150236_46311,LONG,2025-01-15 02:36:00,2025-01-15 07:41:00,5.22,-6.46,TRAILING_WIN,0.0,0.5,True,-0.06462585034013606,49.71219256933539,49.71219256933539,81.8260120585701,81.8260120585701,81.8260120585701,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
