Date,Side,PnL_Pct,Reason,Capital
2024-12-29 22:30:00,SHORT,1.58,TREND_BROKEN,1015.83
2025-01-01 03:45:00,LONG,-1.0,TREND_BROKEN,1005.68
2025-01-02 17:30:00,LONG,-1.09,TREND_BROKEN,994.76
2025-01-04 06:00:00,SHORT,1.59,TREND_BROKEN,1010.59
2025-01-05 15:00:00,SHORT,-0.47,SL_HIT,1005.81
2025-01-06 11:15:00,SHORT,-0.05,TREND_BROKEN,1005.27
2025-01-08 08:00:00,SHORT,1.32,TREND_BROKEN,1018.54
2025-01-11 05:00:00,SHORT,-0.09,TREND_BROKEN,1017.66
2025-01-13 13:00:00,SHORT,5.6,TREND_BROKEN,1074.68
2025-01-15 13:15:00,SHORT,0.38,TREND_BROKEN,1078.76
2025-01-17 00:45:00,SHORT,-0.56,TREND_BROKEN,1072.77
2025-01-17 15:30:00,LONG,-1.29,SL_HIT,1058.91
2025-01-22 04:00:00,SHORT,-0.35,TREND_BROKEN,1055.22
2025-01-25 12:30:00,LONG,-0.68,SL_HIT,1048.06
2025-01-26 00:15:00,SHORT,-0.66,TREND_BROKEN,1041.12
2025-01-26 06:45:00,LONG,-0.35,TREND_BROKEN,1037.45
2025-01-26 20:30:00,LONG,0.21,TREND_BROKEN,1039.65
2025-01-29 19:30:00,SHORT,-3.95,TREND_BROKEN,998.63
2025-01-29 22:45:00,LONG,-1.47,TREND_BROKEN,983.96
2025-01-30 20:30:00,LONG,-0.99,TREND_BROKEN,974.22
2025-02-04 00:15:00,LONG,10.42,TREND_BROKEN,1075.7
2025-02-04 15:00:00,LONG,1.63,TREND_BROKEN,1093.28
2025-02-04 22:15:00,SHORT,-2.34,TREND_BROKEN,1067.65
2025-02-07 00:00:00,SHORT,-1.48,TREND_BROKEN,1051.89
2025-02-08 22:15:00,LONG,0.71,TREND_BROKEN,1059.41
2025-02-09 06:15:00,LONG,1.77,TREND_BROKEN,1078.18
2025-02-11 10:15:00,SHORT,-0.57,SL_HIT,1071.99
2025-02-12 13:30:00,LONG,-3.52,TREND_BROKEN,1034.27
2025-02-14 00:30:00,LONG,-0.91,TREND_BROKEN,1024.89
2025-02-14 05:30:00,LONG,-1.26,TREND_BROKEN,1012.01
2025-02-14 15:15:00,LONG,-1.25,SL_HIT,999.37
2025-02-17 20:15:00,SHORT,-0.21,TREND_BROKEN,997.29
2025-02-19 21:45:00,LONG,-1.29,TREND_BROKEN,984.43
2025-02-20 06:00:00,LONG,-0.94,TREND_BROKEN,975.2
2025-02-23 05:00:00,SHORT,-0.16,TREND_BROKEN,973.6
2025-02-25 10:30:00,SHORT,14.65,TREND_BROKEN,1116.2
2025-02-26 05:45:00,LONG,-0.91,TREND_BROKEN,1106.06
2025-02-26 20:30:00,SHORT,-0.58,TREND_BROKEN,1099.69
2025-02-27 11:15:00,LONG,-0.51,TREND_BROKEN,1094.08
2025-02-27 13:15:00,SHORT,-1.14,SL_HIT,1081.58
2025-02-27 17:45:00,SHORT,-0.74,TREND_BROKEN,1073.57
2025-02-27 22:45:00,SHORT,-1.3,TREND_BROKEN,1059.6
2025-03-02 09:15:00,SHORT,-0.73,TREND_BROKEN,1051.89
2025-03-07 01:30:00,SHORT,-0.85,TREND_BROKEN,1042.91
2025-03-10 00:00:00,SHORT,3.77,TREND_BROKEN,1082.23
2025-03-12 13:15:00,LONG,-2.87,TREND_BROKEN,1051.13
2025-03-13 07:15:00,SHORT,-0.24,TREND_BROKEN,1048.64
2025-03-13 12:45:00,LONG,-0.97,TREND_BROKEN,1038.42
2025-03-14 23:30:00,LONG,-1.25,TREND_BROKEN,1025.48
2025-03-18 18:45:00,SHORT,1.75,TREND_BROKEN,1043.41
2025-03-20 12:30:00,SHORT,-0.2,SL_HIT,1041.34
2025-03-21 16:30:00,SHORT,-0.71,TREND_BROKEN,1033.93
2025-03-22 11:30:00,LONG,-0.97,TREND_BROKEN,1023.94
2025-03-25 00:15:00,SHORT,-0.82,TREND_BROKEN,1015.55
2025-03-25 11:45:00,LONG,-0.39,TREND_BROKEN,1011.59
2025-03-26 00:15:00,SHORT,-0.73,TREND_BROKEN,1004.2
2025-03-26 05:30:00,SHORT,0.04,TREND_BROKEN,1004.55
2025-03-28 03:00:00,LONG,-1.04,TREND_BROKEN,994.09
2025-03-28 18:00:00,SHORT,0.6,TREND_BROKEN,1000.01
2025-03-30 21:45:00,LONG,-0.77,TREND_BROKEN,992.31
2025-03-31 01:15:00,SHORT,-1.16,TREND_BROKEN,980.76
2025-04-02 07:30:00,SHORT,2.95,TREND_BROKEN,1009.72
2025-04-03 15:30:00,SHORT,2.04,TREND_BROKEN,1030.36
2025-04-07 08:30:00,SHORT,1.74,TREND_BROKEN,1048.28
2025-04-11 20:00:00,LONG,-0.99,TREND_BROKEN,1037.94
2025-04-15 04:30:00,LONG,-0.98,SL_HIT,1027.82
2025-04-15 10:30:00,LONG,-1.07,SL_HIT,1016.78
2025-04-16 00:15:00,SHORT,1.9,TREND_BROKEN,1036.1
2025-04-16 04:15:00,LONG,-1.14,TREND_BROKEN,1024.31
2025-04-16 08:15:00,SHORT,-1.29,SL_HIT,1011.09
2025-04-17 15:00:00,SHORT,-1.32,TREND_BROKEN,997.71
2025-04-18 09:45:00,LONG,-0.69,TREND_BROKEN,990.87
2025-04-19 01:00:00,SHORT,-0.74,TREND_BROKEN,983.54
2025-04-20 05:45:00,LONG,-0.49,TREND_BROKEN,978.72
2025-04-21 12:00:00,SHORT,-0.71,TREND_BROKEN,971.78
2025-04-25 03:30:00,SHORT,-0.82,TREND_BROKEN,963.77
2025-04-25 11:00:00,SHORT,-1.15,TREND_BROKEN,952.68
2025-04-25 14:00:00,SHORT,-0.88,TREND_BROKEN,944.28
2025-04-27 18:00:00,SHORT,-0.59,TREND_BROKEN,938.7
2025-04-28 18:45:00,SHORT,0.18,TREND_BROKEN,940.39
2025-04-29 10:45:00,LONG,-0.15,TREND_BROKEN,939.02
2025-05-02 00:45:00,SHORT,-0.64,TREND_BROKEN,933.01
2025-05-03 07:15:00,SHORT,-0.63,SL_HIT,927.16
2025-05-03 12:15:00,SHORT,-0.86,TREND_BROKEN,919.19
