ID_POSICION,TIMESTAMP,ESTRATEGIA,SIDE,PRECIO_ENTRADA,QTY,SL_PRICE,SL_ORDER_ID,TP_CONFIG,ESTADO
f90068e8,2025-12-15 14:17:21,SCALPING_GAMMA,LONG,181.17,36.8,178.39,73797411,"[{'id': 73797413, 'price': 190.17, 'qty': 18.4}]",ABIERTA
92214f00,2025-12-15 14:35:56,SCALPING_GAMMA,LONG,179.76,37.1,177.19,73801157,"[{'id': 73801159, 'price': 188.88, 'qty': 18.5}]",ABIERTA
