2025-12-19 21:01:24,659 | ERROR | [API_MANAGER] ❌ CRITICO: Error configurando cuenta: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:01:23 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 b11f08e43e2fd08f1308734b1278b632.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': 'NI0e1MUOd_2it89LU3sZ79YCRkLoMcYeEr33FObgaGGhod0QRLI4gw=='})
2025-12-19 21:01:24,661 | ERROR | [API_MANAGER] ❌ CRITICO: Fallo crítico de conexión: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:01:23 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 b11f08e43e2fd08f1308734b1278b632.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': 'NI0e1MUOd_2it89LU3sZ79YCRkLoMcYeEr33FObgaGGhod0QRLI4gw=='})
2025-12-19 21:01:24,663 | ERROR | [MAIN] ❌ CRITICO: Fallo en arranque: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:01:23 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 b11f08e43e2fd08f1308734b1278b632.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': 'NI0e1MUOd_2it89LU3sZ79YCRkLoMcYeEr33FObgaGGhod0QRLI4gw=='})
2025-12-19 21:02:41,647 | INFO | [MAIN] --- INICIANDO SECUENCIA DE ARRANQUE ---
2025-12-19 21:02:41,647 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (TESTNET)...
2025-12-19 21:02:44,577 | ERROR | [API_MANAGER] ❌ CRITICO: Error configurando cuenta: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:02:43 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 899452e43d01471239eebf2542a6ab68.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': 'oGKgyWmYJulXHdUjeCT9Q9Aar88QCxgJatHrPtvupAA0_AzLjnzSXg=='})
2025-12-19 21:02:44,578 | ERROR | [API_MANAGER] ❌ CRITICO: Fallo crítico de conexión: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:02:43 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 899452e43d01471239eebf2542a6ab68.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': 'oGKgyWmYJulXHdUjeCT9Q9Aar88QCxgJatHrPtvupAA0_AzLjnzSXg=='})
2025-12-19 21:02:44,579 | ERROR | [MAIN] ❌ CRITICO: Fallo en arranque: (401, -2015, 'Invalid API-key, IP, or permissions for action', {'Content-Type': 'application/json', 'Content-Length': '69', 'Connection': 'keep-alive', 'Date': 'Sat, 20 Dec 2025 01:02:43 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '2', 'x-response-time': '2ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 899452e43d01471239eebf2542a6ab68.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'GIG52-P2', 'X-Amz-Cf-Id': 'oGKgyWmYJulXHdUjeCT9Q9Aar88QCxgJatHrPtvupAA0_AzLjnzSXg=='})
2025-12-19 21:15:49,283 | INFO | [MAIN] --- INICIANDO SECUENCIA DE ARRANQUE ---
2025-12-19 21:15:49,285 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (TESTNET)...
