TIMESTAMP,MODULO,TIPO_ERROR,MENSAJE,TRACEBACK
2025-12-10 23:04:53,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:04:52 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '6', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': 'NBuK3BIrQpZoeW31HOvK3uy6Mw1jpbw2vacfV7_dG5EFOt5x4Xwqug=='})",
2025-12-10 23:04:53,API_MANAGER,ADVERTENCIA,Binance rechazó orden: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.,
2025-12-10 23:04:55,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:04:54 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '10', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': 'wGzHJ8pSe8huKqC67F2s6EChoBYXXC3nRC4G_-ULEA9nV8tqabNgwA=='})",
2025-12-10 23:04:56,API_MANAGER,ADVERTENCIA,Binance rechazó orden: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.,
2025-12-10 23:04:57,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:04:56 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '9', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': 'om0YFDdo41ni66Uqqh9_3bFGi9q1JSp8fYzZ16gYHD3IaBjII_gubA=='})",
2025-12-10 23:04:57,API_MANAGER,ADVERTENCIA,Binance rechazó orden: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.,
2025-12-10 23:05:00,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:05:00 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '1', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': '54f-w5oXMrpLUbUSM05ZZVc80SBw26Y5RwQzXkim-zBy6Hl0C8SOtA=='})",
2025-12-10 23:05:01,API_MANAGER,ADVERTENCIA,Binance rechazó orden: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.,
2025-12-10 23:05:02,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:05:01 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '1', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': 'UCw-wMbS1Egug_an5BqUZB-Rk8zoC9smxujJeU6Qa5iYFUiIQHNNog=='})",
2025-12-10 23:05:03,API_MANAGER,ADVERTENCIA,Binance rechazó orden: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.,
2025-12-10 23:05:06,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:05:05 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '1', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': 'oc7DmLmkjYFwVufBAI4xIV4c_kYIoKe07Aw8k0MXL7H4_hrSo2skJg=='})",
2025-12-10 23:05:06,API_MANAGER,ADVERTENCIA,Binance rechazó orden: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.,
2025-12-10 23:05:08,API_MANAGER,ADVERTENCIA,"Error cancelando orden UNKNOWN_ON_RESTART: (400, -1102, ""Mandatory parameter 'orderid' was not sent, was empty/null, or malformed."", {'Content-Type': 'application/json', 'Content-Length': '96', 'Connection': 'keep-alive', 'Date': 'Thu, 11 Dec 2025 03:05:06 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Bengine', 'x-mbx-used-weight-1m': '1', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 975617464234925f8d09b6969ec6238c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'BOG50-P2', 'X-Amz-Cf-Id': 'G1elJesn33ztEACYH8mSpWOOqo2XlWhChUzbBW3b8BJ8V3cbhYoADg=='})",
2025-12-11 00:19:15,MAIN,CRITICO,Fallo en arranque: type object 'Config' has no attribute 'TELEGRAM_TOKEN',
